crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
LETTUCE,009200010,,,,PVP,1993,"Seminis Vegetable Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augustus. PSR 50886. LETTUCE,1990,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200010.pdf,,,,,,3
LETTUCE,009200011,,,,PVP,1992,"Seminis Vegetable Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romulus. PSR 50786. LETTUCE,1990,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200011.pdf,,,,,,3
"CORN, FIELD",009200012,,,,PVP,1992,"Novartis Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"911. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200012.pdf,,,,,,3
"CORN, FIELD",009200013,,,,PVP,1992,"Novartis Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"912. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200013.pdf,,,,,,3
PEANUT,009200014,,,,PVP,1996,Agratech Seeds Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC-1. NA. PEANUT,2000,,,,peanut,peanut,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200014.pdf,,,,,,3
"PEA, FIELD",009200015,,,,PVP,1993,van Waveren Pflanzenzucht GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Premium. WAV 750. PEA, FIELD",1990,,,,pea,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200015.pdf,,,,,,3
COTTON,009200016,,,,PVP,1994,Bayer CropScience LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoneville 907. NA. COTTON,1990,,,,cotton,cotton,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200016.pdf,,,,,,3
SOYBEAN,009200018,,,,PVP,1992,Minnesota Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bert. M83-899. SOYBEAN,1990,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200018.pdf,,,,,,3
SOYBEAN,009200019,,,,PVP,1992,Minnesota Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leslie. M83-108. SOYBEAN,1990,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200019.pdf,,,,,,3
"CORN, FIELD",009200020,,,,PVP,1992,"Holden's Foundation Seeds, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH197. Ex2287. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200020.pdf,,,,,,3
"CORN, FIELD",009200021,,,,PVP,1993,"Holden's Foundation Seeds, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH198. Ex2381. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200021.pdf,,,,,,3
LETTUCE,009200022,,,,PVP,1992,"Royal Sluis, Koninklijke Zaaizaadbedrijven Gebroeders Sluis, B.V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemente. RS1306. LETTUCE,1990,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200022.pdf,,,,,,3
LETTUCE,009200023,,,,PVP,1992,"Royal Sluis, Koninklijke Zaaizaadbedrijven Gebroeders Sluis, B.V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Del Rey. RS0205. LETTUCE,1990,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200023.pdf,,,,,,3
"CORN, FIELD",009200024,,,,PVP,1992,"Holden's Foundation Seeds, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH199. Ex2299. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200024.pdf,,,,,,3
MARIGOLD,009200025,,,,PVP,1997,PanAmerican Seed Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janie Deep Orange. NA. MARIGOLD,2000,,,,marigold,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200025.pdf,,,,,,3
"PEA, FIELD",009200026,,,,PVP,1993,van Waveren Pflanzenzucht GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June. WAV 750. PEA, FIELD",1990,,,,pea,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200026.pdf,,,,,,3
MARIGOLD,009200027,,,,PVP,1997,PanAmerican Seed Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janie Primrose. NA. MARIGOLD,2000,,,,marigold,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200027.pdf,,,,,,3
"CORN, FIELD",009200028,,,,PVP,1992,"Holden's Foundation Seeds, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH216. Ex2314. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200028.pdf,,,,,,3
PEANUT,009200029,,,,PVP,1995,"University of Georgia Research Foundation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Runner. NA. PEANUT,2000,,,,peanut,peanut,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200029.pdf,,,,,,3
"WHEAT, COMMON",009200030,,,,PVP,1993,Kentucky Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Verne. KY 83-38. WHEAT, COMMON",1990,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200030.pdf,,,,,,3
"CORN, FIELD",009200032,,,,PVP,1993,"Holden's Foundation Seeds, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH222. Ex2456. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200032.pdf,,,,,,3
"WHEAT, COMMON",009200033,,,,PVP,1993,Goertzen Seed Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Discovery. G790. WHEAT, COMMON",1990,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200033.pdf,,,,,,3
"WHEAT, COMMON",009200035,,,,PVP,1994,Sunderman Breeding Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunstar II. SDM 2. WHEAT, COMMON",1990,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200035.pdf,,,,,,3
SOYBEAN,009200036,,,,PVP,1992,"Novartis Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311. 2906Y. SOYBEAN,1990,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200036.pdf,,,,,,3
"CORN, FIELD",009200037,,,,PVP,1993,Advanta Technology Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ICI 193. 9200037. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200037.pdf,,,,,,3
"CORN, FIELD",009200038,,,,PVP,1992,Advanta Technology Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ICI 441. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200038.pdf,,,,,,3
"CORN, FIELD",009200039,,,,PVP,1993,Advanta Technology Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ICI 740. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200039.pdf,,,,,,3
"CORN, FIELD",009200040,,,,PVP,1993,Advanta Technology Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ICI 893. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200040.pdf,,,,,,3
"CORN, FIELD",009200041,,,,PVP,1993,Advanta Technology Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ICI 986. NA. CORN, FIELD",1990,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200041.pdf,,,,,,3
MARIGOLD,009200042,,,,PVP,1997,Ernst Benary Samenzucht GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safari Bolero. NA. MARIGOLD,2000,,,,marigold,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200042.pdf,,,,,,3
MARIGOLD,009200043,,,,PVP,1996,Ernst Benary Samenzucht GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safari Tangerine. NA. MARIGOLD,2000,,,,marigold,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200043.pdf,,,,,,3
PUMPKIN,009200044,,,,PVP,1996,Hollar Seed Company; Geo. Perry and Sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howden Biggie. NA. PUMPKIN,2000,,,,pumpkin,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200044.pdf,,,,,,3
TOBACCO,009200045,,,,PVP,1994,"Speight Seed Farms, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speight G-117. NA. TOBACCO,1990,,,,tobacco,tobacco,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200045.pdf,,,,,,3
FIELD BEAN,009200046,,,,PVP,1992,"Novartis Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista. GTS 0286. FIELD BEAN,1990,,,,beanfield,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200046.pdf,,,,,,3
GARDEN BEAN,009200047,,,,PVP,1992,Del Monte Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMC 04-59. NA. GARDEN BEAN,1990,,,,garden bean,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200047.pdf,,,,,,3
GARDEN BEAN,009200048,,,,PVP,1992,Del Monte Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMC 04-88. NA. GARDEN BEAN,1990,,,,garden bean,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200048.pdf,,,,,,3
BARLEY,009200049,,,,PVP,1994,Pennsylvania Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennbar 66. PA8444-66. BARLEY,1990,,,,barley,barley,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/009200049.pdf,,,,,,3
