crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
rye,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,2009/20090215797] 2011/20110203017] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
rye,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,2009/20090215797] 2011/20110203017] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
rye,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,2009/20090215797] 2011/20110203017] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,test,0,known,8.62020101521921e-07,0,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
sorghum,9451776,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.",2016-09-27,Herbicidal compositions comprising fluroxypyr and flumetsulam,utility,2016,Dow AgroSciences LLC,14853678,14/853678,NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/90] A01N43/40,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having two or more relevant hetero rings, condensed among themselves or with a common carbocyclic ring system] Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings",23008] 6372,149455] 38713,7md768j0c40ita24nb1z14nb9,c3f7c77599f860559188bcaa6c6ce148] 06b889a8dd690c3f81100638bda8b8be,NA,NA,NA,NA,NA,NA,"Herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof provide synergistic herbicidal control of undesirable vegetation, e.g., in wheat, barley, oats, rye, sugarcane, rice, sorghum, corn/maize, soybean, rice, sunflower, canola/oilseed rape, sugarcane, sorghum, cotton, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management and rights-of-way; or crops comprising an aad-12 gene. Also provided herein are methods of using herbicidal compositions containing (a) fluroxypyr or an agriculturally acceptable salt or ester thereof and (b) flumetsulam or an agriculturally acceptable salt thereof.. Herbicidal compositions comprising fluroxypyr and flumetsulam",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9451776,train,0,known,,,67
