crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
rye,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
rye,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
rye,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,rye,rye,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,train,0,known,,,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,train,0,known,,,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,train,0,known,,,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
sorghum,9040459,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.",2015-05-26,Herbicidal compositions comprising aminopyralid and propanil,utility,2015,Dow AgroSciences LLC,14023536,14/023536,2006/20060183637] 2012/20120015811] NA,18] NA,18097] NA,US] NA,-86.1583] NA,39.7683] NA,Indianapolis] NA,1250] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,0] 1] NA,A01N43/40] A01N37/22,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one nitrogen atom as the only ring hetero atom-six-membered rings] Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids -containing the group —CO—N<, e.g. carboxylic acid amides or imides; Thio analogues thereof-the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides",23008] 6372,149455] 38713,po5289lcngmtm15h7dstvxkwx,71d409cd7e52a532283f77c8f59efa1d,1,Chemical,11,"Agriculture,Food,Textiles",3585,21160,"Provided herein are herbicidal compositions containing (a) aminopyralid or an agriculturally acceptable salt or ester thereof and (b) propanil. The compositions provide synergistic weed control of undesirable vegetation, e.g., in rice, wheat, barley, oats, rye, sorghum, corn or maize, oilseed rape/canola, vegetables, pastures, grasslands, rangelands, fallowland, turf, tree and vine orchards, industrial vegetation management or rights-of-way.. Herbicidal compositions comprising aminopyralid and propanil",2020,,,,sorghum,sorghum,field_grain,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9040459,test,0,known,3.34323231072631e-05,0,62
